@timestamp,rule.id,rule.level,agent.name,rule.description,data.win.eventdata.commandLine,data.win.eventdata.image,mitre.id,sample_name,source_type
2023-01-16T11:36:24.226054000Z,600133,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe""",C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe,T1486,public_background,benign
2023-01-16T11:36:24.226317400Z,600132,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,T1486,public_background,benign
2023-01-16T11:36:24.226514400Z,600131,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\csrss.exe,T1486,public_background,benign
2023-01-16T11:36:24.226651700Z,600130,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\svchost.exe,T1486,public_background,benign
2023-01-16T11:36:24.226746700Z,600129,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\svchost.exe,T1486,public_background,benign
2023-01-16T11:36:24.226839700Z,600128,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\svchost.exe,T1486,public_background,benign
2023-01-16T11:36:24.226928200Z,600127,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\svchost.exe,T1486,public_background,benign
2023-01-16T11:36:24.228273000Z,600126,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\conhost.exe,T1486,public_background,benign
2023-01-16T11:36:24.242008500Z,600125,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,C:\Program Files\SplunkUniversalForwarder\var\lib\splunk\modinputs\WinEventLog\Application,C:\Program Files\SplunkUniversalForwarder\bin\splunk-winevtlog.exe,T1486,public_background,benign
2023-01-16T11:36:24.275775600Z,600124,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,C:\Program Files\SplunkUniversalForwarder\var\lib\splunk\modinputs\WinEventLog\Microsoft-Windows-Sysmon_Operational,C:\Program Files\SplunkUniversalForwarder\bin\splunk-winevtlog.exe,T1486,public_background,benign
2023-01-16T11:36:24.399149900Z,600123,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe,T1486,public_background,benign
2023-01-16T11:36:24.632282500Z,600122,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:24.638109800Z,600121,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:24.639482600Z,600120,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:24.641208300Z,600119,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:24.644408200Z,600118,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:24.645712500Z,600117,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:24.899012700Z,600116,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe""",C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe,T1486,public_background,benign
2023-01-16T11:36:24.899213000Z,600115,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe,T1486,public_background,benign
2023-01-16T11:36:24.899718400Z,600114,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\csrss.exe,T1486,public_background,benign
2023-01-16T11:36:24.899916700Z,600113,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\svchost.exe,T1486,public_background,benign
2023-01-16T11:36:24.900015400Z,600112,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\svchost.exe,T1486,public_background,benign
2023-01-16T11:36:24.900112900Z,600111,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\svchost.exe,T1486,public_background,benign
2023-01-16T11:36:24.900188200Z,600110,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\svchost.exe,T1486,public_background,benign
2023-01-16T11:36:24.901395000Z,600109,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,C:\Program Files\SplunkUniversalForwarder\var\lib\splunk\modinputs\WinEventLog\Security,C:\Program Files\SplunkUniversalForwarder\bin\splunk-winevtlog.exe,T1486,public_background,benign
2023-01-16T11:36:24.901576100Z,600108,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Windows\system32\conhost.exe,T1486,public_background,benign
2023-01-16T11:36:25.154519800Z,600163,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:25.156611900Z,600162,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:25.157601000Z,600161,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:25.158339600Z,600160,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:25.159189200Z,600159,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
2023-01-16T11:36:25.161513500Z,600158,4,win-dc-ctus-attack-range-221.attackrange.local,Public Lockbit background Sysmon event,,C:\Program Files\Aurora-Agent\aurora-agent.exe,T1486,public_background,benign
